n_points_train_val,train_result,test_result
1,"{'train_loss': [1.4007787704467773, 0.21806207299232483, 0.007864575833082199, 1.3889909496356267e-05, 3.7822989185087863e-10, 3.9879211044535623e-13, 7.904787935331115e-14, 2.220446049250313e-14, 1.509903313490213e-14, 1.509903313490213e-14, 1.509903313490213e-14, 1.509903313490213e-14, 1.509903313490213e-14, 1.509903313490213e-14, 1.509903313490213e-14, 1.509903313490213e-14, 1.509903313490213e-14, 8.881784197001252e-16, 8.881784197001252e-16, 8.881784197001252e-16, 8.881784197001252e-16], 'val_loss': [0.6755229830741882, 0.6266701221466064, 0.5604807734489441, 0.5389204025268555, 0.5379733443260193, 0.5379718542098999, 0.5379719734191895, 0.5379719734191895, 0.5379719138145447, 0.5379719138145447, 0.5379719138145447, 0.5379719138145447, 0.5379719138145447, 0.5379719138145447, 0.5379717350006104, 0.5379717350006104, 0.537971556186676, 0.5379717350006104, 0.5379717350006104, 0.5379717350006104, 0.5379717350006104], 'epochs': [0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000]}","{'loss': 1.7449158430099487, 'preds': [(0.30410319566726685, -0.7959892749786377), (0.4750632047653198, -0.43714088201522827), (0.5753534436225891, -0.015025675296783447), (0.5731205940246582, 0.4078751504421234), (0.4601438343524933, 0.7691614031791687), (0.254599392414093, 1.014865517616272), (-0.004543125629425049, 1.1070636510849), (-0.26796555519104004, 1.0298683643341064), (-0.4872221350669861, 0.7927775382995605), (-0.6239200830459595, 0.4304366111755371), (-0.6556260585784912, -0.0016800165176391602), (-0.5783827304840088, -0.4354092478752136), (-0.4062245190143585, -0.8007357716560364), (-0.16822363436222076, -1.037508487701416), (0.09637962281703949, -1.1058977842330933)]}"
2,"{'train_loss': [3.040647029876709, 0.29814523458480835, 0.0668211281299591, 0.06430339813232422, 0.06301496177911758, 0.06169620528817177, 0.06036117300391197, 0.05901855230331421, 0.05767269432544708, 0.05632397532463074, 0.05496891587972641, 0.0536007359623909, 0.05221162736415863, 0.050796426832675934, 0.04935550317168236, 0.04789460450410843, 0.04642200097441673, 0.04494522511959076, 0.04346911609172821, 0.041996076703071594, 0.04052763804793358, 0.03906567394733429, 0.03761043772101402, 0.036156125366687775, 0.03468639403581619, 0.03317912667989731, 0.031627826392650604, 0.03005441278219223, 0.028493357822299004, 0.02697303518652916], 'val_loss': [2.1129343509674072, 1.9538295269012451, 1.952087640762329, 1.8551766872406006, 1.7407233715057373, 1.6251587867736816, 1.51021146774292, 1.3969552516937256, 1.286034345626831, 1.177756667137146, 1.0721752643585205, 0.9691975116729736, 0.8687600493431091, 0.7710293531417847, 0.6764911413192749, 0.5858697891235352, 0.49995312094688416, 0.41943585872650146, 0.34485670924186707, 0.27662593126296997, 0.21510536968708038, 0.16066712141036987, 0.11368042975664139, 0.07445849478244781, 0.04324706271290779, 0.020314117893576622, 0.006088743917644024, 0.0011153448140248656, 0.0058338837698102, 0.02044665813446045], 'epochs': [0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900]}","{'loss': 1.9419853687286377, 'preds': [(0.07903805375099182, -0.14593316614627838), (0.5443204641342163, 0.15496627986431122), (0.8724895715713501, 0.44083642959594727), (0.990870475769043, 0.6726090908050537), (0.8746861219406128, 0.8136639595031738), (0.5534851551055908, 0.8356982469558716), (0.10407450795173645, 0.7256107330322266), (-0.36844295263290405, 0.4911158084869385), (-0.7562683820724487, 0.16275106370449066), (-0.9740084409713745, -0.20908492803573608), (-0.9768425226211548, -0.5619550943374634), (-0.7680184841156006, -0.8325774669647217), (-0.3952351212501526, -0.9690205454826355), (0.0618949830532074, -0.9412932395935059), (0.5096592903137207, -0.748076319694519)]}"
